feature,type,psi,ks,hellinger,status
person_income,numeric,0.001749236574838029,0.010149764022204022,0.014786531600028987,stable
person_home_ownership,categorical,0.0013652482220333738,,,stable
person_education,categorical,0.0012358494163296685,,,stable
loan_percent_income,numeric,0.0011938704919161895,0.007461779299468729,0.012215855519898622,stable
loan_int_rate,numeric,0.001048392172587906,0.010385139971143209,0.011447369719187514,stable
loan_amnt,numeric,0.0010385068993533709,0.008102874120509473,0.011393261550932782,stable
credit_score,numeric,0.0009231448786271243,0.005684984947686544,0.010741820824393816,stable
person_age,numeric,0.0005508910236606481,0.005234037973142813,0.008298161245428287,stable
cb_person_cred_hist_length,numeric,0.0004838914561464243,0.00478320915730257,0.007777166679814096,stable
loan_intent,categorical,0.00042659558492494257,,,stable
person_emp_exp,numeric,0.00038038812795803176,0.004510864780452817,0.006895475767105542,stable
person_gender,categorical,0.00019851610870277295,,,stable
previous_loan_defaults_on_file,categorical,4.781279456833804e-05,,,stable
