decile,rows,positives,average_score,positive_rate,lift,cumulative_gain
1,900,899,0.987768225292684,0.9988888888888889,4.494500555555556,0.4495
2,900,689,0.7469067364474802,0.7655555555555555,3.444617222222222,0.794
3,900,275,0.30841543627313,0.3055555555555556,1.3748472222222223,0.9315
4,900,118,0.13963430053619325,0.13111111111111112,0.5899344444444444,0.9905
5,900,19,0.033704847084473986,0.021111111111111112,0.09498944444444445,1.0
6,899,0,0.00017478734869080643,0.0,0.0,1.0
7,900,0,0.00017095508969060697,0.0,0.0,1.0
8,900,0,0.0001646761085526621,0.0,0.0,1.0
9,900,0,0.0001646761085526621,0.0,0.0,1.0
10,900,0,0.0001646322380459919,0.0,0.0,1.0
